school_name,conf_abbr,class,games,games_started,mp_per_g,fg_per_g,fga_per_g,fg_pct,fg2_per_g,fg2a_per_g,fg2_pct,fg3_per_g,fg3a_per_g,fg3_pct,ft_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g,sos-dum,sos,player
Duke,,,33,33,30.0,9.0,13.2,.680,8.2,11.0,.747,0.7,2.2,.338,3.9,6.2,.640,3.5,5.4,8.9,2.1,2.1,1.8,2.4,2.1,22.6,,11.98,Zion Williamson
Murray State,,,65,65,35.3,6.1,12.6,.485,4.8,8.9,.545,1.3,3.8,.343,5.1,6.3,.810,1.5,4.6,6.1,8.2,1.4,0.6,3.8,1.7,18.7,,-3.32,Ja Morant
Duke,,,38,38,35.3,8.4,18.5,.454,6.5,12.2,.529,1.9,6.2,.308,3.9,5.9,.665,1.6,6.0,7.6,4.3,0.9,0.4,3.2,1.8,22.6,,11.98,RJ Barrett
Virginia,,,71,38,26.6,4.4,8.5,.509,3.4,6.3,.541,0.9,2.3,.419,2.8,3.6,.773,1.3,3.1,4.4,1.6,0.6,0.5,1.2,1.9,12.4,,9.60,De'Andre Hunter
Vanderbilt,,,5,5,27.8,5.8,10.8,.537,3.6,6.2,.581,2.2,4.6,.478,2.4,3.2,.750,0.4,3.4,3.8,2.6,0.8,0.4,3.0,1.4,16.2,,7.79,Darius Garland
Texas Tech,,,75,58,29.5,5.3,11.6,.459,3.9,7.5,.522,1.4,4.1,.341,2.9,4.2,.687,1.2,4.4,5.6,2.8,1.3,0.6,2.1,2.0,14.9,,9.56,Jarrett Culver
UNC,,,35,35,28.5,5.4,12.7,.423,3.0,6.1,.500,2.3,6.6,.353,3.0,3.7,.800,0.3,3.2,3.5,4.1,1.1,0.3,2.7,1.9,16.1,,11.35,Coby White
Texas,,,32,21,23.3,3.8,5.3,.728,3.8,5.3,.728,0.0,0.0,,2.3,3.1,.740,1.8,3.3,5.0,0.3,0.6,2.2,0.9,3.3,10.0,,11.46,Jaxson Hayes
Gonzaga,,,102,39,19.7,4.5,7.8,.579,4.3,7.1,.607,0.2,0.7,.316,2.8,3.7,.746,1.1,3.3,4.4,0.8,0.6,0.5,1.2,1.6,12.1,,3.91,Rui Hachimura
Duke,,,36,35,29.7,4.3,12.0,.356,1.8,4.6,.394,2.5,7.4,.333,2.4,3.2,.772,0.6,3.1,3.7,1.9,1.6,0.6,2.7,2.4,13.5,,11.98,Cam Reddish
UNC,,,62,56,29.6,5.2,11.0,.475,2.9,5.4,.542,2.3,5.6,.411,2.3,2.7,.828,1.8,3.5,5.3,2.4,1.0,0.2,1.3,1.6,15.0,,,Cameron Johnson
Kentucky,,,72,63,28.3,4.5,8.7,.521,4.0,7.3,.547,0.5,1.4,.384,3.4,5.4,.632,2.1,4.5,6.6,1.7,0.8,1.0,1.9,2.6,12.9,,10.51,P.J. Washington
Kentucky,,,37,37,32.6,5.0,10.9,.462,3.4,6.3,.538,1.6,4.6,.355,2.4,2.5,.935,0.4,4.1,4.5,2.5,1.1,0.3,1.6,1.3,14.0,,10.29,Tyler Herro
Indiana,,,32,32,34.1,5.5,12.3,.448,4.5,8.4,.530,1.1,3.9,.272,4.4,6.1,.722,1.4,4.0,5.4,2.3,0.8,0.8,2.1,1.9,16.5,,10.10,Romeo Langford
Georgia,,,32,32,33.0,6.3,15.8,.402,4.1,8.1,.504,2.3,7.7,.294,4.1,5.3,.772,0.8,4.5,5.2,2.8,1.3,0.6,2.7,2.2,19.1,,8.06,Anthony Edwards
Memphis,,,3,3,23.0,6.7,8.7,.769,6.7,8.3,.800,0.0,0.3,.000,6.3,9.0,.704,4.3,6.3,10.7,0.3,0.3,3.0,1.0,1.7,19.7,,5.07,James Wiseman
Florida State,,,29,0,22.5,3.3,7.1,.459,2.7,5.4,.503,0.6,1.7,.320,2.1,2.6,.838,1.3,2.7,4.0,1.0,1.0,1.0,1.7,1.6,9.2,,7.64,Patrick Williams
Auburn,,,28,28,31.5,4.5,8.7,.514,3.8,6.2,.607,0.7,2.5,.286,3.2,4.8,.672,1.9,2.5,4.4,2.0,0.9,0.9,2.0,2.7,12.9,,7.39,Isaac Okoro
USC,,,28,28,30.6,6.3,10.1,.616,6.2,10.0,.621,0.0,0.1,.250,3.7,5.1,.720,3.3,5.4,8.6,1.1,1.2,2.7,2.0,2.7,16.2,,7.22,Onyeka Okongwu
Dayton,,,64,46,29.0,7.0,10.8,.647,6.3,9.2,.688,0.7,1.6,.417,2.5,3.6,.706,1.4,5.2,6.6,2.0,0.8,1.0,2.0,1.9,17.1,,3.30,Obi Toppin
