player,dunk_tot,dunk_pct,rim_tot,rim_pct,rim_asted,other2pt_tot,other2pt_pct,other2pt_asted,3pt_tot,3pt_pct,3pt_asted,games,games_started,mp_per_g,fg_per_g,fga_per_g,fg_pct,fg2_per_g,fg2a_per_g,fg2_pct,fg3_per_g,fg3a_per_g,fg3_pct,ft_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g
Andrew Wiggins,36-40,90.0%,92-132,69.7%,47.8%,54-161,33.5%,18.5%,43-126,34.1%,76.7%,35,35,32.8,5.4,12.1,0.448,4.2,8.5,0.493,1.2,3.6,0.341,5.0,6.5,0.775,2.2,3.7,5.9,1.5,1.2,1.0,2.3,2.7,17.1
Jabari Parker,61-66,92.4%,124-199,62.3%,51.6%,74-193,38.3%,50.0%,38-106,35.8%,89.5%,35,35,30.7,6.7,14.3,0.473,5.7,11.2,0.504,1.1,3.0,0.358,4.6,6.1,0.748,3.0,5.7,8.7,1.2,1.1,1.2,2.3,2.4,19.1
Joel Embiid,30-30,100.0%,80-99,80.8%,70.0%,25-65,38.5%,64.0%,1-5,20.0%,100.0%,28,20,23.1,3.8,6.1,0.626,3.8,5.9,0.639,0.0,0.2,0.2,3.5,5.1,0.685,2.3,5.8,8.1,1.4,0.9,2.6,2.4,3.4,11.2
Aaron Gordon,54-56,96.4%,137-198,69.2%,55.5%,36-140,25.7%,36.1%,16-45,35.6%,87.5%,38,38,31.2,5.0,10.1,0.495,4.6,8.9,0.513,0.4,1.2,0.356,2.0,4.7,0.422,2.7,5.3,8.0,2.0,0.9,1.0,1.4,2.4,12.4
Marcus Smart,16-18,88.9%,78-110,70.9%,32.1%,36-113,31.9%,27.8%,49-164,29.9%,61.2%,64,63,33.1,4.9,11.9,0.413,3.5,7.3,0.488,1.4,4.6,0.295,5.5,7.3,0.751,1.5,4.4,5.9,4.5,2.9,0.6,3.0,2.9,16.6
Julius Randle,37-40,92.5%,132-197,67.0%,31.1%,61-176,34.7%,23.0%,3-18,16.7%,100.0%,40,40,30.8,4.9,9.8,0.501,4.8,9.3,0.517,0.1,0.5,0.167,5.1,7.2,0.706,3.5,6.9,10.4,1.4,0.5,0.8,2.5,2.3,15.0
Nik Stauskas,15-17,88.2%,53-87,60.9%,32.1%,40-99,40.4%,27.5%,92-208,44.2%,71.7%,75,69,32.9,4.3,9.2,0.467,2.0,4.0,0.5,2.3,5.2,0.441,3.2,3.9,0.832,0.5,2.5,2.9,2.3,0.6,0.3,1.5,1.0,14.1
Noah Vonleh,24-27,88.9%,73-122,59.8%,39.7%,24-61,39.3%,25.0%,16-33,48.5%,93.8%,30,29,26.5,3.8,7.2,0.523,3.2,6.1,0.53,0.5,1.1,0.485,3.2,4.5,0.716,2.4,6.6,9.0,0.6,0.9,1.4,2.1,2.7,11.3
Elfrid Payton,21-24,87.5%,169-247,68.4%,24.9%,36-137,26.3%,5.6%,14-54,25.9%,35.7%,100,78,31.6,5.0,10.3,0.485,4.7,9.2,0.512,0.3,1.1,0.268,3.9,6.5,0.611,1.5,3.6,5.1,4.9,2.0,0.5,3.4,2.3,14.3
Doug McDermott,9-9,100.0%,159-229,69.4%,64.8%,75-183,41.0%,44.0%,96-214,44.9%,90.6%,145,145,31.5,7.9,14.3,0.55,6.0,10.2,0.587,1.9,4.1,0.458,4.1,4.9,0.831,1.9,5.6,7.5,1.3,0.2,0.1,2.2,1.8,21.7
