pick_overall,team_id,player,college_name,seasons,g,mp,pts,trb,ast,fg_pct,fg3_pct,ft_pct,mp_per_g,pts_per_g,trb_per_g,ast_per_g,ws,ws_per_48,bpm,vorp,year,skip
15,ATL,Adreian Payne,Michigan State,4,107,1403,429,315,66,.406,.254,.680,13.1,4.0,2.9,0.6,-0.6,-.019,-5.9,-1.4,2014,
16,CHI,Jusuf Nurkić,,10,539,13284,6538,4821,1353,.503,.280,.667,24.6,12.1,8.9,2.5,31.8,.115,0.5,8.4,2014,
17,BOS,James Young,Kentucky,4,95,812,219,96,28,.367,.277,.563,8.5,2.3,1.0,0.3,0.8,.046,-3.4,-0.3,2014,
18,PHO,Tyler Ennis,Syracuse,4,186,2336,779,250,359,.419,.317,.768,12.6,4.2,1.3,1.9,1.3,.026,-3.4,-0.8,2014,
19,CHI,Gary Harris,Michigan State,10,570,15954,6295,1351,1111,.447,.370,.813,28.0,11.0,2.4,1.9,25.8,.078,-1.3,2.8,2014,
20,TOR,Bruno Caboclo,,7,105,1293,442,268,72,.403,.308,.836,12.3,4.2,2.6,0.7,1.5,.054,-2.7,-0.2,2014,
21,OKC,Mitch McGary,Michigan,2,52,557,227,183,17,.527,.000,.580,10.7,4.4,3.5,0.3,1.3,.108,-2.6,-0.1,2014,
22,MEM,Jordan Adams,UCLA,2,32,263,101,30,19,.402,.385,.607,8.2,3.2,0.9,0.6,0.4,.070,1.7,0.2,2014,
23,UTA,Rodney Hood,Duke,8,448,10977,4656,1160,736,.420,.366,.841,24.5,10.4,2.6,1.6,17.4,.076,-1.2,2.2,2014,
24,CHH,Shabazz Napier,UConn,6,345,5986,2433,657,849,.397,.345,.815,17.4,7.1,1.9,2.5,8.1,.065,-0.7,2.0,2014,
25,HOU,Clint Capela,,10,609,16227,7466,6516,614,.621,.000,.545,26.6,12.3,10.7,1.0,66.4,.196,1.8,15.6,2014,
26,MIA,P.J. Hairston,UNC,2,111,2000,664,266,59,.343,.295,.810,18.0,6.0,2.4,0.5,0.9,.021,-3.9,-1.0,2014,
27,PHO,Bogdan Bogdanović,,7,449,12950,6590,1520,1470,.438,.384,.843,28.8,14.7,3.4,3.3,22.9,.085,0.4,7.8,2014,
28,LAC,C.J. Wilcox,Washington,3,66,376,132,31,30,.370,.333,.813,5.7,2.0,0.5,0.5,0.1,.007,-4.3,-0.2,2014,
29,OKC,Josh Huestis,Stanford,3,76,1068,187,180,23,.346,.312,.240,14.1,2.5,2.4,0.3,0.7,.030,-3.5,-0.4,2014,
30,SAS,Kyle Anderson,UCLA,10,653,14322,4519,2861,1833,.479,.338,.714,21.9,6.9,4.4,2.8,36.6,.123,1.8,13.6,2014,
31,MIL,Damien Inglis,,1,20,156,36,31,10,.351,.231,.875,7.8,1.8,1.6,0.5,-0.1,-.024,-5.6,-0.1,2014,
32,PHI,K.J. McDaniels,Clemson,3,148,2092,782,324,95,.412,.290,.776,14.1,5.3,2.2,0.6,1.3,.030,-2.8,-0.4,2014,
33,CLE,Joe Harris,Virginia,10,504,12298,5185,1521,790,.479,.436,.771,24.4,10.3,3.0,1.6,23.1,.090,-0.7,4.1,2014,
34,NYK,Cleanthony Early,Wichita State,2,56,801,241,123,42,.346,.263,.750,14.3,4.3,2.2,0.8,-0.6,-.039,-5.9,-0.8,2014,
35,UTA,Jarnell Stokes,Tennessee,3,28,151,67,40,7,.581,,.531,5.4,2.4,1.4,0.3,0.6,.202,0.1,0.1,2014,
36,MIL,Johnny O'Bryant,LSU,4,147,1684,509,352,69,.402,.360,.663,11.5,3.5,2.4,0.5,0.2,.006,-6.2,-1.8,2014,
37,TOR,DeAndre Daniels,UConn,,,,,,,,,,,,,,,,,,2014,
38,DET,Spencer Dinwiddie,Colorado,10,542,15083,7206,1642,2804,.414,.333,.796,27.8,13.3,3.0,5.2,32.4,.103,0.1,7.9,2014,
39,PHI,Jerami Grant,Syracuse,10,672,18530,8751,2663,1049,.455,.364,.746,27.6,13.0,4.0,1.6,34.8,.090,-0.4,7.7,2014,
40,MIN,Glenn Robinson III,Michigan,7,304,5299,1804,776,238,.457,.373,.779,17.4,5.9,2.6,0.8,7.9,.071,-1.7,0.4,2014,
41,DEN,Nikola Jokić,,9,675,21078,14139,7249,4667,.557,.350,.827,31.2,20.9,10.7,6.9,111.6,.254,9.9,63.4,2014,
42,HOU,Nick Johnson,Arizona,1,28,262,74,39,11,.347,.238,.680,9.4,2.6,1.4,0.4,-0.1,-.020,-6.5,-0.3,2014,
43,ATL,Edy Tavares,,2,13,101,33,32,4,.625,,.273,7.8,2.5,2.5,0.3,0.2,.118,-0.4,0.0,2014,
44,MIN,Markel Brown,Oklahoma State,3,113,1794,584,234,132,.380,.295,.781,15.9,5.2,2.1,1.2,1.1,.029,-2.9,-0.4,2014,
45,CHH,Dwight Powell,Stanford,10,650,12014,4640,2877,677,.602,.293,.739,18.5,7.1,4.4,1.0,46.2,.185,0.9,8.7,2014,
46,WAS,Jordan Clarkson,Missouri,10,716,19861,11429,2405,2073,.438,.335,.832,27.7,16.0,3.4,2.9,23.6,.057,-0.9,5.4,2014,
47,PHI,Russ Smith,Louisville,2,27,131,53,15,19,.319,.188,.769,4.9,2.0,0.6,0.7,-0.2,-.068,-5.1,-0.1,2014,
48,MIL,Lamar Patterson,Pitt,2,40,435,93,57,45,.326,.236,.720,10.9,2.3,1.4,1.1,0.1,.006,-5.7,-0.4,2014,
49,CHI,Cameron Bairstow,New Mexico,2,36,167,44,36,7,.296,.200,.846,4.6,1.2,1.0,0.2,-0.1,-.021,-8.1,-0.3,2014,
50,PHO,Alec Brown,Green Bay,,,,,,,,,,,,,,,,,,2014,
51,NYK,Thanasis Antetokounmpo,,6,198,1520,481,307,115,.509,.143,.529,7.7,2.4,1.6,0.6,1.9,.059,-4.3,-0.9,2014,
52,PHI,Vasilije Micić,,1,60,1176,422,88,262,.430,.279,.813,19.6,7.0,1.5,4.4,0.4,.015,-4.6,-0.8,2014,
53,MIN,Alessandro Gentile,,,,,,,,,,,,,,,,,,,2014,
54,PHI,Nemanja Dangubić,,,,,,,,,,,,,,,,,,,2014,
55,MIA,Semaj Christon,Xavier,1,64,973,183,87,130,.345,.190,.548,15.2,2.9,1.4,2.0,0.1,.006,-5.1,-0.8,2014,
56,DEN,Devyn Marble,Iowa,2,44,457,97,69,29,.304,.222,.375,10.4,2.2,1.6,0.7,-0.3,-.028,-5.5,-0.4,2014,
57,IND,Louis Labeyrie,,,,,,,,,,,,,,,,,,,2014,
58,SAS,Jordan McRae,Tennessee,4,123,1696,846,225,167,.417,.355,.772,13.8,6.9,1.8,1.4,1.7,.048,-2.1,0.0,2014,
59,TOR,Xavier Thames,San Diego State,,,,,,,,,,,,,,,,,,2014,
60,SAS,Cory Jefferson,Baylor,2,58,581,205,161,16,.444,.125,.583,10.0,3.5,2.8,0.3,0.9,.071,-3.3,-0.2,2014,
1,MIN,Karl-Anthony Towns,Kentucky,9,573,19455,13121,6216,1815,.524,.398,.839,34.0,22.9,10.8,3.2,75.0,.185,4.5,31.8,2015,
2,LAL,D'Angelo Russell,Ohio State,9,571,17265,10136,1954,3289,.430,.369,.792,30.2,17.8,3.4,5.8,24.6,.068,0.7,11.8,2015,
3,PHI,Jahlil Okafor,Duke,6,247,4827,2566,1169,225,.542,.222,.676,19.5,10.4,4.7,0.9,7.2,.071,-2.0,0.0,2015,
4,NYK,Kristaps Porziņģis,,8,459,14196,9021,3604,826,.459,.361,.831,30.9,19.7,7.9,1.8,42.7,.144,2.5,16.1,2015,
5,ORL,Mario Hezonja,,5,330,6107,2284,1026,415,.417,.319,.812,18.5,6.9,3.1,1.3,3.2,.025,-2.8,-1.2,2015,
6,SAC,Willie Cauley-Stein,Kentucky,7,422,9276,3675,2470,598,.544,.188,.612,22.0,8.7,5.9,1.4,23.3,.121,-0.1,4.4,2015,
7,DEN,Emmanuel Mudiay,,6,302,7187,3299,884,1143,.401,.323,.744,23.8,10.9,2.9,3.8,-0.2,-.001,-3.2,-2.2,2015,
8,DET,Stanley Johnson,Arizona,8,449,8879,2806,1404,679,.391,.305,.748,19.8,6.2,3.1,1.5,6.9,.037,-2.7,-1.6,2015,
9,CHO,Frank Kaminsky,Wisconsin,8,413,8160,3630,1579,651,.430,.349,.746,19.8,8.8,3.8,1.6,15.9,.094,-0.2,3.7,2015,
10,MIA,Justise Winslow,Duke,8,344,8906,2829,1760,889,.412,.315,.638,25.9,8.2,5.1,2.6,8.2,.044,-2.1,-0.3,2015,
11,IND,Myles Turner,Texas,9,570,16280,7911,3878,702,.502,.354,.771,28.6,13.9,6.8,1.2,44.0,.130,0.8,11.6,2015,
12,UTA,Trey Lyles,Kentucky,9,581,10621,4484,2510,615,.443,.347,.745,18.3,7.7,4.3,1.1,19.4,.088,-1.0,2.5,2015,
13,PHO,Devin Booker,Kentucky,9,598,20354,14529,2413,2993,.464,.357,.870,34.0,24.3,4.0,5.0,45.1,.106,1.2,16.2,2015,
14,OKC,Cameron Payne,Murray State,9,405,7266,3203,847,1324,.422,.369,.825,17.9,7.9,2.1,3.3,11.7,.077,-0.6,2.5,2015,
15,ATL,Kelly Oubre Jr.,Kansas,9,595,15664,7790,2664,639,.435,.327,.751,26.3,13.1,4.5,1.1,22.2,.068,-1.8,0.7,2015,
16,BOS,Terry Rozier,Louisville,9,601,16699,8573,2372,2170,.420,.367,.827,27.8,14.3,3.9,3.6,29.6,.085,0.6,10.8,2015,
17,MIL,Rashad Vaughn,UNLV,3,139,1671,423,158,75,.337,.313,.692,12.0,3.0,1.1,0.5,-0.6,-.017,-4.7,-1.2,2015,
18,HOU,Sam Dekker,Wisconsin,5,201,3097,1094,607,160,.478,.288,.606,15.4,5.4,3.0,0.8,5.4,.083,-1.4,0.5,2015,
19,WAS,Jerian Grant,Notre Dame,5,279,4998,1692,530,805,.411,.323,.770,17.9,6.1,1.9,2.9,8.3,.080,-1.6,0.5,2015,
20,TOR,Delon Wright,Utah,9,508,10540,3531,1584,1559,.451,.354,.806,20.7,7.0,3.1,3.1,28.2,.128,2.2,11.0,2015,
21,DAL,Justin Anderson,Virginia,6,242,3280,1284,621,184,.410,.292,.775,13.6,5.3,2.6,0.8,4.9,.072,-1.5,0.4,2015,
22,CHI,Bobby Portis,Arkansas,9,605,13663,7138,4274,746,.479,.385,.759,22.6,11.8,7.1,1.2,31.1,.109,-0.5,5.3,2015,
23,POR,Rondae Hollis-Jefferson,Arizona,6,305,6759,2760,1684,579,.449,.212,.735,22.2,9.0,5.5,1.9,12.9,.091,-0.7,2.3,2015,
24,CLE,Tyus Jones,Duke,9,601,12250,4420,1178,2593,.445,.367,.813,20.4,7.4,2.0,4.3,29.5,.116,0.6,8.1,2015,
25,MEM,Jarell Martin,LSU,4,184,2927,998,639,114,.434,.346,.766,15.9,5.4,3.5,0.6,3.2,.053,-4.3,-1.7,2015,
26,SAS,Nikola Milutinov,,,,,,,,,,,,,,,,,,,2015,
27,LAL,Larry Nance Jr.,Wyoming,9,522,12124,4001,3238,979,.540,.342,.696,23.2,7.7,6.2,1.9,33.4,.132,1.2,9.9,2015,
28,BOS,R.J. Hunter,Georgia State University,4,45,395,133,46,19,.371,.295,.818,8.8,3.0,1.0,0.4,0.4,.051,-2.0,0.0,2015,
29,BRK,Chris McCullough,Syracuse,3,59,532,194,112,15,.426,.306,.548,9.0,3.3,1.9,0.3,0.6,.054,-2.5,-0.1,2015,
30,GSW,Kevon Looney,UCLA,9,523,9166,2633,2929,838,.583,.167,.615,17.5,5.0,5.6,1.6,33.1,.173,0.4,5.5,2015,
31,MIN,Cedi Osman,,7,476,10815,4427,1411,933,.432,.357,.711,22.7,9.3,3.0,2.0,12.5,.055,-2.1,-0.3,2015,
32,HOU,Montrezl Harrell,Louisville,8,515,10544,6220,2588,675,.619,.108,.664,20.5,12.1,5.0,1.3,42.9,.195,2.6,12.2,2015,
33,BOS,Jordan Mickey,LSU,3,64,482,152,128,17,.449,.118,.605,7.5,2.4,2.0,0.3,0.5,.050,-4.8,-0.3,2015,
34,LAL,Anthony Brown,Stanford,3,41,762,161,103,28,.328,.286,.850,18.6,3.9,2.5,0.7,-0.2,-.016,-5.1,-0.6,2015,
35,PHI,Willy Hernangómez,,7,344,5149,2524,1982,364,.533,.306,.713,15.0,7.3,5.8,1.1,16.3,.152,0.1,2.8,2015,
36,MIN,Rakeem Christmas,Syracuse,2,30,225,63,57,4,.467,,.724,7.5,2.1,1.9,0.1,0.5,.105,-4.7,-0.2,2015,
37,PHI,Richaun Holmes,Bowling Green,9,458,8826,3934,2429,437,.603,.274,.745,19.3,8.6,5.3,1.0,28.8,.156,0.1,4.6,2015,
38,DET,Darrun Hilliard,Villanova,3,91,859,295,85,71,.377,.304,.747,9.4,3.2,0.9,0.8,0.3,.016,-4.7,-0.6,2015,
39,CHO,Juan Pablo Vaulet,,,,,,,,,,,,,,,,,,,2015,
40,MIA,Josh Richardson,Tennessee,9,546,15665,6349,1673,1451,.429,.364,.846,28.7,11.6,3.1,2.7,27.7,.085,-0.6,5.7,2015,
41,BRK,Pat Connaughton,Notre Dame,9,554,10836,3363,1914,759,.436,.358,.773,19.6,6.1,3.5,1.4,23.4,.104,-0.4,4.4,2015,
42,UTA,Olivier Hanlan,Boston College,,,,,,,,,,,,,,,,,,2015,
43,IND,Joe Young,Oregon,3,127,1077,429,130,119,.393,.296,.768,8.5,3.4,1.0,0.9,0.4,.016,-4.1,-0.6,2015,
44,PHO,Andrew Harrison,Kentucky,3,145,2987,1012,287,399,.373,.294,.779,20.6,7.0,2.0,2.8,3.2,.051,-2.8,-0.6,2015,
45,BOS,Marcus Thornton,William & Mary,,,,,,,,,,,,,,,,,,2015,
46,MIL,Norman Powell,UCLA,9,557,12980,6851,1458,816,.468,.394,.828,23.3,12.3,2.6,1.5,27.1,.100,-0.2,5.9,2015,
47,PHI,Artūras Gudaitis,,,,,,,,,,,,,,,,,,,2015,
48,OKC,Dakari Johnson,Kentucky,1,31,161,55,34,8,.564,,.550,5.2,1.8,1.1,0.3,0.6,.178,-0.3,0.1,2015,
49,WAS,Aaron White,Iowa,,,,,,,,,,,,,,,,,,2015,
50,ATL,Marcus Eriksson,,,,,,,,,,,,,,,,,,,2015,
51,ORL,Tyler Harvey,Eastern Washington,,,,,,,,,,,,,,,,,,2015,
52,DAL,Satnam Singh,,,,,,,,,,,,,,,,,,,2015,
53,CLE,Sir'Dominic Pointer,St. John's,,,,,,,,,,,,,,,,,,2015,
54,UTA,Dani Díez,,,,,,,,,,,,,,,,,,,2015,
55,SAS,Cady Lalanne,UMass,,,,,,,,,,,,,,,,,,2015,
56,NOP,Branden Dawson,Michigan State,1,6,29,5,4,0,.400,,1.000,4.8,0.8,0.7,0.0,0.0,.069,-5.7,0.0,2015,
57,DEN,Nikola Radičević,,,,,,,,,,,,,,,,,,,2015,
58,PHI,J.P. Tokoto,UNC,,,,,,,,,,,,,,,,,,2015,
59,ATL,Dimitrios Agravanis,,,,,,,,,,,,,,,,,,,2015,
60,PHI,Luka Mitrović,,,,,,,,,,,,,,,,,,,2015,
1,PHI,Ben Simmons,LSU,6,332,10790,4765,2599,2469,.560,.139,.589,32.5,14.4,7.8,7.4,33.6,.149,3.3,14.6,2016,
2,LAL,Brandon Ingram,Duke,8,477,15721,9256,2466,2037,.468,.362,.786,33.0,19.4,5.2,4.3,27.2,.083,0.1,8.4,2016,
3,BOS,Jaylen Brown,California,8,540,16307,10038,2840,1303,.480,.364,.720,30.2,18.6,5.3,2.4,35.4,.104,0.4,9.7,2016,
4,PHO,Dragan Bender,,4,187,3755,1014,720,237,.399,.323,.654,20.1,5.4,3.9,1.3,0.5,.006,-3.9,-1.9,2016,
5,MIN,Kris Dunn,Providence,8,333,7714,2642,1104,1407,.437,.323,.739,23.2,7.9,3.3,4.2,7.7,.048,-1.5,1.0,2016,
6,NOP,Buddy Hield,Oklahoma,8,632,18317,9820,2672,1641,.434,.400,.860,29.0,15.5,4.2,2.6,24.9,.065,0.4,11.0,2016,
7,DEN,Jamal Murray,Kentucky,7,469,14378,8187,1757,2106,.452,.380,.867,30.7,17.5,3.7,4.5,31.9,.106,0.9,10.7,2016,
8,SAC,Marquese Chriss,Washington,6,292,5338,2206,1366,298,.456,.290,.667,18.3,7.6,4.7,1.0,6.5,.058,-2.4,-0.5,2016,
9,TOR,Jakob Poeltl,Utah,8,538,11634,4487,3606,925,.631,.500,.538,21.6,8.3,6.7,1.7,38.7,.159,1.1,9.2,2016,
10,MIL,Thon Maker,,5,263,3624,1216,726,161,.435,.327,.680,13.8,4.6,2.8,0.6,6.6,.087,-2.1,-0.1,2016,
11,ORL,Domantas Sabonis,Gonzaga,8,576,17470,9064,5908,2739,.556,.332,.726,30.3,15.7,10.3,4.8,59.8,.164,3.2,22.8,2016,
12,UTA,Taurean Prince,Baylor,8,502,12236,5089,1804,850,.424,.376,.811,24.4,10.1,3.6,1.7,11.5,.045,-2.1,-0.3,2016,
13,PHO,Georgios Papagiannis,,2,39,477,160,123,29,.514,.000,.857,12.2,4.1,3.2,0.7,0.4,.044,-3.9,-0.2,2016,
14,CHI,Denzel Valentine,Michigan State,5,256,4817,1795,857,466,.394,.360,.787,18.8,7.0,3.3,1.8,4.5,.044,-1.9,0.2,2016,
15,DEN,Juancho Hernangómez,,7,339,5269,1711,1131,216,.428,.342,.676,15.5,5.0,3.3,0.6,8.7,.080,-1.9,0.1,2016,
16,BOS,Guerschon Yabusele,,2,74,486,173,105,31,.442,.323,.682,6.6,2.3,1.4,0.4,1.1,.105,-1.9,0.0,2016,
17,MEM,Wade Baldwin,Vanderbilt,3,56,579,174,69,78,.355,.250,.776,10.3,3.1,1.2,1.4,-0.3,-.028,-5.3,-0.5,2016,
18,DET,Henry Ellenson,Marquette,5,83,787,342,206,49,.371,.336,.773,9.5,4.1,2.5,0.6,0.4,.023,-3.7,-0.3,2016,
19,DEN,Malik Beasley,Florida State,8,496,11456,5402,1398,650,.425,.385,.800,23.1,10.9,2.8,1.3,15.4,.064,-1.3,2.1,2016,
20,IND,Caris LeVert,Michigan,8,460,12955,6498,1778,1890,.434,.341,.739,28.2,14.1,3.9,4.1,19.9,.074,-0.4,5.3,2016,
21,ATL,DeAndre' Bembry,Saint Joseph's,6,296,5670,1750,950,533,.474,.283,.611,19.2,5.9,3.2,1.8,4.4,.038,-2.3,-0.4,2016,
22,CHO,Malachi Richardson,Syracuse,3,70,625,198,70,24,.358,.301,.783,8.9,2.8,1.0,0.3,-0.1,-.009,-6.1,-0.7,2016,
23,BOS,Ante Žižić,,3,113,1517,674,446,64,.581,,.711,13.4,6.0,3.9,0.6,3.5,.110,-2.6,-0.2,2016,
24,PHI,Timothé Luwawu-Cabarrot,,6,328,5254,1937,656,293,.391,.335,.829,16.0,5.9,2.0,0.9,4.7,.043,-4.0,-2.7,2016,
25,LAC,Brice Johnson,UNC,2,21,107,47,34,3,.449,.000,.600,5.1,2.2,1.6,0.1,0.1,.062,-0.6,0.0,2016,
26,PHI,Furkan Korkmaz,,7,328,5447,2244,646,391,.406,.356,.761,16.6,6.8,2.0,1.2,7.6,.067,-2.0,0.1,2016,
27,TOR,Pascal Siakam,New Mexico State,8,551,17089,9747,3643,1998,.496,.330,.766,31.0,17.7,6.6,3.6,47.9,.135,2.0,17.2,2016,
28,PHO,Skal Labissière,Kentucky,4,148,2595,1069,662,152,.492,.353,.748,17.5,7.2,4.5,1.0,4.4,.081,-2.3,-0.2,2016,
29,SAS,Dejounte Murray,Washington,7,472,13733,7261,2725,2490,.458,.345,.787,29.1,15.4,5.8,5.3,26.0,.091,1.6,12.5,2016,
30,GSW,Damian Jones,Vanderbilt,8,279,3782,1366,869,193,.656,.351,.715,13.6,4.9,3.1,0.7,11.3,.143,-1.0,1.0,2016,
31,BOS,Deyonta Davis,Michigan State,3,107,1299,454,346,47,.599,.000,.635,12.1,4.2,3.2,0.4,3.6,.131,-2.1,0.0,2016,
32,LAL,Ivica Zubac,,8,504,10810,4613,3732,580,.612,.083,.739,21.4,9.2,7.4,1.2,39.6,.176,0.3,6.4,2016,
33,LAC,Cheick Diallo,Kansas,5,183,2186,958,759,78,.596,.286,.774,11.9,5.2,4.1,0.4,6.3,.139,-1.4,0.3,2016,
34,PHO,Tyler Ulis,Kentucky,3,133,2782,998,223,537,.403,.280,.808,20.9,7.5,1.7,4.0,0.5,.008,-3.6,-1.1,2016,
35,BOS,Rade Zagorac,,,,,,,,,,,,,,,,,,,2016,
36,MIL,Malcolm Brogdon,Virginia,8,439,12917,6772,1826,2058,.464,.391,.873,29.4,15.4,4.2,4.7,32.6,.121,1.4,11.1,2016,
37,HOU,Chinanu Onuaku,Louisville,2,6,74,18,14,4,.583,,1.000,12.3,3.0,2.3,0.7,0.1,.043,-5.4,-0.1,2016,
38,MIL,Patrick McCaw,UNLV,5,199,3373,760,319,270,.420,.305,.785,16.9,3.8,1.6,1.4,4.4,.062,-2.8,-0.6,2016,
39,NOP,David Michineau,,,,,,,,,,,,,,,,,,,2016,
40,NOP,Diamond Stone,Maryland,1,7,24,10,6,0,.231,,1.000,3.4,1.4,0.9,0.0,-0.1,-.211,-20.8,-0.1,2016,
41,ORL,Stephen Zimmerman,UNLV,1,19,108,23,35,4,.323,,.600,5.7,1.2,1.8,0.2,0.0,-.005,-8.3,-0.2,2016,
42,UTA,Isaiah Whitehead,Seton Hall,2,89,1823,643,210,212,.411,.305,.788,20.5,7.2,2.4,2.4,-0.9,-.025,-5.0,-1.4,2016,
43,HOU,Zhou Qi,,2,19,125,24,22,2,.212,.105,.667,6.6,1.3,1.2,0.1,-0.2,-.093,-9.6,-0.2,2016,
44,ATL,Isaïa Cordinier,,,,,,,,,,,,,,,,,,,2016,
45,BOS,Demetrius Jackson,Notre Dame,3,26,136,48,19,17,.486,.286,.667,5.2,1.8,0.7,0.7,0.2,.087,-0.5,0.1,2016,
46,DAL,A.J. Hammons,Purdue,1,22,163,48,36,4,.405,.500,.450,7.4,2.2,1.6,0.2,0.0,-.001,-6.6,-0.2,2016,
47,ORL,Jake Layman,Maryland,6,243,3099,1175,417,127,.460,.300,.719,12.8,4.8,1.7,0.5,3.8,.059,-2.3,-0.2,2016,
48,CHI,Paul Zipser,,2,98,1667,458,256,82,.371,.335,.769,17.0,4.7,2.6,0.8,0.0,-.001,-5.2,-1.4,2016,
49,DET,Michael Gbinije,Syracuse,1,9,32,4,3,2,.100,.000,1.000,3.6,0.4,0.3,0.2,-0.1,-.136,-12.1,-0.1,2016,
50,IND,Georges Niang,Iowa State,8,465,7797,3262,1082,423,.441,.397,.866,16.8,7.0,2.3,0.9,13.1,.080,-1.6,0.8,2016,
51,BOS,Ben Bentil,Providence,1,3,10,0,2,0,.000,.000,,3.3,0.0,0.7,0.0,-0.1,-.473,-25.9,-0.1,2016,
52,UTA,Joel Bolomboy,Weber State,2,18,91,31,27,2,.545,.200,.500,5.1,1.7,1.5,0.1,0.3,.132,-0.1,0.0,2016,
53,DEN,Petr Cornelie,,1,13,38,14,14,3,.333,.125,.750,2.9,1.1,1.1,0.2,0.0,-.015,-8.8,-0.1,2016,
54,ATL,Kay Felder,Oakland,2,58,526,223,59,78,.364,.268,.754,9.1,3.8,1.0,1.3,-0.4,-.041,-4.7,-0.4,2016,
55,BRK,Marcus Paige,UNC,1,5,28,12,4,3,.286,.250,1.000,5.6,2.4,0.8,0.6,0.0,-.006,-8.8,0.0,2016,
56,DEN,Daniel Hamilton,UConn,2,25,232,69,52,30,.394,.357,.500,9.3,2.8,2.1,1.2,0.0,.000,-3.3,-0.1,2016,
57,MEM,Wang Zhelin,,,,,,,,,,,,,,,,,,,2016,
58,BOS,Abdel Nader,Iowa State,5,202,2583,926,376,110,.428,.357,.718,12.8,4.6,1.9,0.5,2.8,.052,-2.6,-0.4,2016,
59,SAC,Isaiah Cousins,Oklahoma,,,,,,,,,,,,,,,,,,2016,
60,UTA,Tyrone Wallace,California,4,112,1714,566,236,127,.422,.207,.656,15.3,5.1,2.1,1.1,0.1,.003,-5.2,-1.4,2016,
1,PHI,Markelle Fultz,Washington,7,234,5939,2595,797,1084,.472,.274,.731,25.4,11.1,3.4,4.6,8.5,.069,-1.1,1.3,2017,
2,LAL,Lonzo Ball,UCLA,5,252,8187,2995,1447,1563,.400,.364,.578,32.5,11.9,5.7,6.2,11.4,.067,1.1,6.3,2017,
3,BOS,Jayson Tatum,Duke,7,513,17561,11852,3670,1812,.460,.375,.844,34.2,23.1,7.2,3.5,56.0,.153,3.6,24.6,2017,
4,PHO,Josh Jackson,Kansas,5,291,6718,3276,1159,534,.416,.292,.680,23.1,11.3,4.0,1.8,-1.7,-.012,-3.8,-3.1,2017,
5,SAC,De'Aaron Fox,Kentucky,7,469,15420,9940,1784,2870,.471,.334,.736,32.9,21.2,3.8,6.1,29.6,.092,0.9,11.4,2017,
6,ORL,Jonathan Isaac,Florida State,5,205,4550,1717,1045,182,.449,.341,.771,22.2,8.4,5.1,0.9,10.6,.112,1.0,3.5,2017,
7,MIN,Lauri Markkanen,Arizona,7,403,12482,7308,2923,587,.459,.375,.866,31.0,18.1,7.3,1.5,31.0,.119,1.2,9.9,2017,
8,NYK,Frank Ntilikina,,7,321,5454,1535,563,693,.369,.320,.762,17.0,4.8,1.8,2.2,0.3,.003,-4.4,-3.4,2017,
9,DAL,Dennis Smith Jr.,NC State,7,326,7601,3160,967,1381,.407,.298,.674,23.3,9.7,3.0,4.2,2.3,.015,-2.1,-0.2,2017,
10,SAC,Zach Collins,Gonzaga,6,314,6160,2606,1539,574,.479,.336,.750,19.6,8.3,4.9,1.8,9.2,.071,-1.7,0.4,2017,
11,CHO,Malik Monk,Kentucky,7,458,9889,5327,1132,1295,.433,.355,.844,21.6,11.6,2.5,2.8,12.4,.060,-1.1,2.2,2017,
12,DET,Luke Kennard,Duke,7,395,9287,3941,1118,830,.454,.439,.879,23.5,10.0,2.8,2.1,19.7,.102,-0.2,4.3,2017,
13,DEN,Donovan Mitchell,Louisville,7,468,16011,11619,2002,2176,.450,.366,.843,34.2,24.8,4.3,4.6,44.4,.133,3.4,22.0,2017,
14,MIA,Bam Adebayo,Kentucky,7,489,14680,7513,4275,1707,.547,.221,.755,30.0,15.4,8.7,3.5,50.1,.164,2.6,17.2,2017,
15,POR,Justin Jackson,UNC,7,280,4886,1676,654,285,.423,.319,.796,17.5,6.0,2.3,1.0,5.3,.052,-2.8,-1.0,2017,
16,CHI,Justin Patton,Creighton,4,22,296,86,60,19,.404,.250,.667,13.5,3.9,2.7,0.9,0.4,.066,-2.8,-0.1,2017,
17,MIL,D.J. Wilson,Michigan,6,148,1818,657,454,110,.422,.331,.618,12.3,4.4,3.1,0.7,2.9,.077,-2.4,-0.2,2017,
18,IND,T.J. Leaf,UCLA,4,146,1238,477,283,43,.492,.341,.585,8.5,3.3,1.9,0.3,2.7,.104,-1.8,0.1,2017,
19,ATL,John Collins,Wake Forest,7,432,12519,6795,3478,617,.548,.358,.785,29.0,15.7,8.1,1.4,36.7,.141,0.6,8.3,2017,
20,POR,Harry Giles,Duke,4,165,1935,888,573,180,.508,.244,.661,11.7,5.4,3.5,1.1,3.1,.076,-2.5,-0.2,2017,
21,OKC,Terrance Ferguson,,4,204,4000,924,263,144,.404,.334,.753,19.6,4.5,1.3,0.7,4.4,.053,-4.0,-2.1,2017,
22,BRK,Jarrett Allen,Texas,7,486,13725,6185,4441,790,.630,.171,.711,28.2,12.7,9.1,1.6,55.1,.193,2.1,14.1,2017,
23,TOR,OG Anunoby,Indiana,7,418,12148,5001,1786,667,.474,.376,.745,29.1,12.0,4.3,1.6,24.8,.098,0.1,6.4,2017,
